Nationality;Position;Player;Club;Age;Caps;Overall
Japan;Forward;Yoshito Okubo;Vissel Kobe;28;49;NA
Japan;Midfielder;Junichi Inamoto;Kawasaki Frontale;30;80;72
Japan;Defender;Yuji Nakazawa;Yokohama F. Marinos;32;105;NA
Japan;Goalkeeper;Yoshikatsu Kawaguchi;Jubilo Iwata;34;116;NA
Netherlands;Defender;Giovanni van Bronckhorst;Feyenoord;35;97;74
Italy;Defender;Fabio Cannavaro;Juventus;36;133;83
Italy;Midfielder;Mauro Camoranesi;Juventus;33;53;84
New Zealand;Midfielder;Andy Barron;Team Wellington;29;11;50
New Zealand;Goalkeeper;James Bannatyne;Team Wellington;34;3;45
Paraguay;Defender;Claudio Morel;Boca Juniors;32;25;71
Paraguay;Defender;Denis Caniza;Leon;35;95;75
Paraguay;Defender;Julio Cesar Caceres;Atletico Mineiro;30;59;73
Paraguay;Defender;Carlos Bonet;Olimpia;32;60;74
Paraguay;Goalkeeper;Diego Barreto;Cerro Porteno;28;2;67
Paraguay;Midfielder;Enrique Vera;LDU Quito;31;25;71
Paraguay;Midfielder;Victor Caceres;Libertad;25;25;70
Paraguay;Defender;Aureliano Torres;San Lorenzo;27;25;66
Paraguay;Midfielder;Nestor Ortigoza;Argentinos Juniors;25;3;NA
Paraguay;Goalkeeper;Aldo Bobadilla;Independiente Medellin;34;18;74
Paraguay;Forward;Rodolfo Gamarra;Libertad;21;2;NA
Slovakia;Midfielder;Zdeno Strba;Skoda Xanthi;34;21;NA
Slovakia;Midfielder;Jan Kozak;Timi?oara;30;24;NA
Slovakia;Forward;Martin Jakubko;Saturn Moscow Oblast;30;24;72
Slovakia;Goalkeeper;Dusan Kuciak;Vaslui;25;3;NA
Brazil;Defender;Gilberto;Cruzeiro;34;33;75
Ivory Coast;Goalkeeper;Boubacar Barry;Lokeren;30;45;73
Ivory Coast;Midfielder;Emmanuel Kone;Interna?ional;23;12;NA
Ivory Coast;Forward;Aruna Dindane;Portsmouth;29;54;75
Ivory Coast;Goalkeeper;Aristide Zogbo;Maccabi Netanya;28;6;NA
Ivory Coast;Midfielder;Kader Keita;Galatasaray;28;55;80
Ivory Coast;Goalkeeper;Daniel Yeboah;ASEC Mimosas;25;4;NA
North Korea;Goalkeeper;Ri Myong-guk;Pyongyang City;23;28;NA
North Korea;Defender;Cha Jong-hyok;Amrokgang;24;31;NA
North Korea;Defender;Ri Jun-il;Sobaeksu;22;26;NA
North Korea;Midfielder;Pak Nam-chol;April 25;24;35;NA
North Korea;Defender;Ri Kwang-chon;April 25;24;41;NA
North Korea;Forward;Kim Kum-il;April 25;22;11;NA
North Korea;Forward;An Chol-hyok;Rimyongsu;22;16;NA
North Korea;Defender;Ji Yun-nam;April 25;33;23;NA
North Korea;Forward;Jong Tae-se;Kawasaki Frontale;26;20;NA
North Korea;Forward;Hong Yong-jo;Rostov;28;40;NA
North Korea;Midfielder;Mun In-guk;April 25;31;42;NA
North Korea;Forward;Choe Kum-chol;April 25;23;16;NA
North Korea;Defender;Pak Chol-jin;Amrokgang;24;34;NA
North Korea;Defender;Pak Nam-Chol;Amrokgang;21;12;NA
North Korea;Midfielder;Kim Yong-jun;Pyongyang City;26;52;NA
North Korea;Defender;Nam Song-chol;April 25;28;41;NA
North Korea;Midfielder;An Yong-hak;Omiya Ardija;31;24;NA
North Korea;Goalkeeper;Kim Myong-gil;Amrokgang;25;10;NA
North Korea;Midfielder;Ri Chol-myong;Pyongyang City;22;10;NA
North Korea;Goalkeeper;Kim Myong-won;Amrokgang;26;9;NA
North Korea;Defender;Ri Kwang-hyok;Kyonggongop;22;15;NA
North Korea;Midfielder;Kim Kyong-il;Rimyongsu;21;7;NA
North Korea;Defender;Pak Sung-hyok;Sobaeksu;20;3;NA
Portugal;Goalkeeper;Daniel Fernandes;Iraklis;26;2;74
Chile;Midfielder;Rodrigo Millar;Colo-Colo;28;19;NA
Chile;Forward;Esteban Paredes;Colo-Colo;29;12;NA
Chile;Goalkeeper;Luis Marin;Union Espanola;27;2;NA
Honduras;Goalkeeper;Ricardo Canales;Motagua;28;2;NA
Honduras;Defender;Johnny Palacios;Olimpia;23;4;NA
Honduras;Forward;Carlos Pavon;Real Espana;36;98;NA
Honduras;Forward;Jerry Palacios;Hangzhou Greentown;27;11;NA
Honduras;Forward;David Suazo;Genoa;30;50;79
Honduras;Defender;Boniek Garcia;Olimpia;25;42;NA
Honduras;Forward;Walter Martinez;Marathon;28;34;NA
Honduras;Defender;Mauricio Sabillon;Hangzhou Greentown;31;25;NA
Honduras;Goalkeeper;Noel Valladares;Olimpia;33;71;NA
Honduras;Midfielder;Danilo Turcios;Olimpia;32;82;NA
Honduras;Midfielder;Amado Guevara;Motagua;34;133;68
Honduras;Goalkeeper;Donis Escober;Olimpia;29;11;NA
Honduras;Defender;Sergio Mendoza;Motagua;29;46;NA
Switzerland;Midfielder;Valon Behrami;West Ham United;25;27;77
