Nationality;Position;Player;Club;Age;Caps;Overall
Czech Republic;Goalkeeper;Antonin Kinsky;Saturn Ramenskoye;31;5;68
Ghana;Goalkeeper;Sammy Adjei;Ashdod;25;31;NA
Ghana;Defender;John Mensah;Rennes;23;33;79
Ghana;Defender;Emmanuel Pappoe;Hapoel Kfar Saba;25;27;NA
Ghana;Defender;Illiasu Shilla;Asante Kotoko;23;2;NA
Ghana;Midfielder;Derek Boateng;AIK;23;11;NA
Ghana;Defender;Habib Mohamed;King Faisal Babes;22;1;NA
Ghana;Goalkeeper;George Owu;Ashanti Gold;23;6;NA
Ghana;Defender;Daniel Quaye;Hearts of Oak;25;7;NA
Ghana;Forward;Otto Addo;Mainz 05;31;13;69
USA;Midfielder;Claudio Reyna;Manchester City;32;109;80
USA;Forward;Landon Donovan;LA Galaxy;24;81;81
Australia;Goalkeeper;Mark Schwarzer;Middlesbrough;33;37;83
Australia;Midfielder;Josip Skoko;Wigan Athletic;30;46;69
Croatia;Defender;Dario Simic;Milan;30;80;77
Japan;Goalkeeper;Seigo Narazaki;Nagoya Grampus Eight;30;50;NA
Japan;Defender;Teruyuki Moniwa;FC Tokyo;24;8;NA
Japan;Defender;Yuichi Komano;Sanfrecce Hiroshima;24;8;NA
Japan;Midfielder;Yasuhito Endo;Gamba Osaka;26;40;NA
Japan;Defender;Tsuneyasu Miyamoto;Gamba Osaka;29;69;NA
Japan;Midfielder;Hidetoshi Nakata;Fiorentina;29;74;77
Japan;Forward;Seiichiro Maki;JEF United;25;10;NA
Japan;Goalkeeper;Yoichi Doi;FC Tokyo;32;4;NA
Japan;Forward;Atsushi Yanagisawa;Kashima Antlers;29;56;63
Japan;Defender;Alessandro Santos;Urawa Red Diamonds;28;72;NA
Japan;Midfielder;Takashi Fukunishi;Jubilo Iwata;29;62;NA
Japan;Forward;Masashi Oguro;Grenoble;26;18;NA
Japan;Midfielder;Shinji Ono;Urawa Red Diamonds;26;54;77
Japan;Defender;Keisuke Tsuboi;Urawa Red Diamonds;26;33;NA
Japan;Forward;Keiji Tamada;Nagoya Grampus Eight;26;39;NA
Japan;Defender;Akira Kaji;Gamba Osaka;26;43;NA
Japan;Defender;Yuji Nakazawa;Yokohama F. Marinos;28;50;NA
Japan;Goalkeeper;Yoshikatsu Kawaguchi;Jubilo Iwata;30;89;NA
France;Midfielder;Vikash Dhorasoo;Paris Saint-Germain;32;16;81
France;Midfielder;Zinedine Zidane;Real Madrid;33;102;92
Togo;Goalkeeper;Ouro-Nimini Tchagnirou;Djoliba;28;9;NA
Togo;Defender;Jean-Paul Abalo;APOEL;30;65;NA
Togo;Defender;Massamasso Tchangai;Benevento;27;34;NA
Togo;Forward;Moustapha Salifou;Brest;23;34;57
Togo;Midfielder;Kuami Agboh;Beveren;28;4;NA
Togo;Midfielder;Cherif Toure Mamam;Metz;28;39;NA
Togo;Defender;Eric Akoto;Admira Wacker;25;32;72
Togo;Defender;Richmond Forson;Poire;26;8;NA
Togo;Midfielder;Alaixys Romao;Louhans-Cuiseaux;22;11;NA
Togo;Forward;Mohamed Kader;Guingamp;27;46;70
Togo;Midfielder;Yao Junior Senaya;YF Juventus;22;16;NA
Togo;Defender;Ludovic Assemoassa;Ciudad de Murcia;25;5;NA
Togo;Forward;Affo Erassa;Moulins;23;6;NA
Togo;Midfielder;Franck Atsou;Al Hilal;27;13;NA
Togo;Goalkeeper;Kodjovi Obilale;Etoile Filante;21;0;NA
Saudi Arabia;Goalkeeper;Mohamed Al-Deayea;Al Hilal;33;175;NA
Saudi Arabia;Defender;Ahmed Al-Dokhi;Al-Ittihad;29;68;NA
Saudi Arabia;Defender;Redha Tukar;Al-Ittihad;30;37;NA
Saudi Arabia;Defender;Hamad Al-Montashari;Al-Ittihad;23;32;NA
Saudi Arabia;Defender;Naif Al-Qadi;Al-Ahli;27;28;NA
Saudi Arabia;Midfielder;Omar Al-Ghamdi;Al Hilal;27;38;NA
Saudi Arabia;Midfielder;Mohammed Ameen;Al-Ittihad;26;16;NA
Saudi Arabia;Midfielder;Mohammed Noor;Al-Ittihad;28;63;NA
Saudi Arabia;Forward;Sami Al-Jaber;Al Hilal;33;160;NA
Saudi Arabia;Midfielder;Mohammad Al-Shalhoub;Al Hilal;25;48;NA
Saudi Arabia;Forward;Saad Al-Harthi;Al Nassr;22;15;NA
Saudi Arabia;Defender;Abdulaziz Al-Khathran;Al Hilal;32;19;NA
Saudi Arabia;Defender;Hussein Abdulghani;Al-Ahli;29;97;NA
Saudi Arabia;Midfielder;Saud Kariri;Al-Ittihad;25;34;NA
Saudi Arabia;Defender;Ahmed Al-Bahri;Al Ettifaq;25;11;NA
Saudi Arabia;Midfielder;Khaled Aziz;Al Hilal;24;14;NA
Saudi Arabia;Defender;Mohamed Eid;Al-Ahli;19;0;NA
Saudi Arabia;Midfielder;Nawaf Al-Temyat;Al Hilal;29;56;NA
Saudi Arabia;Defender;Mohammad Massad;Al-Ahli;23;5;NA
Saudi Arabia;Forward;Yasser Al-Qahtani;Al Hilal;23;45;NA
Saudi Arabia;Goalkeeper;Mabrouk Zaid;Al-Ittihad;27;33;NA
Saudi Arabia;Goalkeeper;Mohammad Khouja;Al Shabab;24;8;NA
Saudi Arabia;Forward;Malek Mouath;Al-Ahli;24;5;NA
Spain;Defender;Mariano Pernia;Getafe;29;1;NA
Tunisia;Defender;Hatem Trabelsi;Ajax;29;56;75
Ukraine;Goalkeeper;Oleksandr Shovkovskyi;Dynamo Kyiv;31;68;82
Ukraine;Defender;Andriy Nesmachniy;Dynamo Kyiv;27;49;66
Ukraine;Midfielder;Anatoliy Tymoshchuk;Shakhtar Donetsk;27;55;75
Ukraine;Defender;Volodymyr Yezerskiy;Dnipro Dnipropetrovsk;29;24;NA
Ukraine;Midfielder;Oleh Shelayev;Dnipro Dnipropetrovsk;29;19;64
Ukraine;Defender;Dmytro Chyhrynskyi;Shakhtar Donetsk;19;0;62
Ukraine;Midfielder;Andriy Husin;Krylya Sovetov Samara;33;64;NA
Ukraine;Forward;Artem Milevskyi;Dynamo Kyiv;21;0;76
Ukraine;Defender;Vladyslav Vashchuk;Dynamo Kyiv;31;58;70
Ukraine;Midfielder;Serhiy Nazarenko;Dnipro Dnipropetrovsk;26;15;NA
Ukraine;Forward;Oleksiy Byelik;Shakhtar Donetsk;25;15;NA
Ukraine;Defender;Vyacheslav Sviderskyi;Shakhtar Donetsk;27;6;57
