Nation,Position,Player,Club,Age,Caps
United States,Forward,Josh Wolff,Kansas City Wizards,29,47
United States,Midfielder,DaMarcus Beasley,PSV Eindhoven,24,58
United States,Goalkeeper,Kasey Keller,Borussia Mönchengladbach,36,93
United States,Goalkeeper,Marcus Hahnemann,Reading,33,6
United States,Forward,Brian McBride,Fulham,33,92
United States,Forward,Landon Donovan,LA Galaxy,24,81
United States,Defender,Oguchi Onyewu,Standard Liège,24,14
United States,Defender,Eddie Pope,Real Salt Lake,32,80
Australia,Goalkeeper,Mark Schwarzer,Middlesbrough,33,37
Australia,Defender,Lucas Neill,Blackburn Rovers,28,25
Australia,Defender,Craig Moore,Newcastle United,30,33
Australia,Midfielder,Tim Cahill,Everton,26,16
Australia,Midfielder,Jason Culina,PSV Eindhoven,25,13
Australia,Defender,Tony Popovic,Crystal Palace,32,56
Australia,Defender,Brett Emerton,Blackburn Rovers,27,48
Australia,Midfielder,Josip Skoko,Wigan Athletic,30,46
Australia,Forward,Mark Viduka,Middlesbrough,30,33
Australia,Forward,Harry Kewell,Liverpool,27,20
Australia,Defender,Stan Lazaridis,Birmingham City,33,59
Australia,Goalkeeper,Ante Covic,Hammarby,30,1
Australia,Midfielder,Vince Grella,Parma,26,17
Australia,Midfielder,Scott Chipperfield,Basel,30,46
Australia,Forward,John Aloisi,Alavés,30,41
Australia,Defender,Michael Beauchamp,Central Coast Mariners,25,2
Australia,Forward,Archie Thompson,Melbourne Victory,27,20
Australia,Goalkeeper,Zeljko Kalac,Milan,33,52
Australia,Forward,Joshua Kennedy,Dynamo Dresden,23,1
Australia,Defender,Luke Wilkshire,Bristol City,24,8
Australia,Midfielder,Mile Sterjovski,Basel,27,22
Australia,Defender,Mark Milligan,Sydney FC,20,1
Australia,Midfielder,Mark Bresciano,Parma,26,24
Brazil,Goalkeeper,Dida,Milan,32,86
Brazil,Defender,Cafu,Milan,36,138
Brazil,Defender,Lúcio,Bayern Munich,28,50
Brazil,Defender,Juan,Bayer Leverkusen,27,38
Brazil,Midfielder,Emerson,Juventus,30,70
Brazil,Defender,Roberto Carlos,Real Madrid,33,121
Brazil,Forward,Adriano,Inter Milan,24,32
Brazil,Midfielder,Kaká,Milan,24,38
Brazil,Forward,Ronaldo,Real Madrid,29,92
Brazil,Midfielder,Ronaldinho,Barcelona,26,63
Brazil,Midfielder,Zé Roberto,Bayern Munich,31,79
Brazil,Goalkeeper,Rogério Ceni,São Paulo,33,15
Brazil,Defender,Cicinho,Real Madrid,25,10
Brazil,Defender,Luisão,Benfica,25,19
Brazil,Defender,Cris,Lyon,29,16
Brazil,Defender,Gilberto,Hertha BSC,30,9
Brazil,Midfielder,Gilberto Silva,Arsenal,29,36
Brazil,Midfielder,Mineiro,São Paulo,30,2
Brazil,Midfielder,Juninho Pernambucano,Lyon,31,37
Brazil,Midfielder,Ricardinho,Corinthians,30,19
Brazil,Forward,Fred,Lyon,22,3
Brazil,Goalkeeper,Júlio César,Inter Milan,26,11
Brazil,Forward,Robinho,Real Madrid,22,23
Croatia,Goalkeeper,Stipe Pletikosa,Shakhtar Donetsk,27,50
Croatia,Midfielder,Darijo Srna,Shakhtar Donetsk,24,36
Croatia,Defender,Josip Šimunić,Hertha BSC,28,42
Croatia,Defender,Robert Kovač,Juventus,32,56
Croatia,Midfielder,Igor Tudor,Juventus,28,52
Croatia,Midfielder,Jurica Vranješ,Werder Bremen,26,24
Croatia,Defender,Dario Šimić,Milan,30,80
Croatia,Midfielder,Marko Babić,Bayer Leverkusen,25,33
Croatia,Forward,Dado Pršo,Rangers,31,29
Croatia,Midfielder,Niko Kovač,Hertha BSC,34,58
Croatia,Defender,Mario Tokić,Austria Wien,30,28
Croatia,Goalkeeper,Joey Didulica,Austria Wien,28,4
Croatia,Defender,Stjepan Tomas,Galatasaray,30,48
Croatia,Midfielder,Luka Modrić,Dinamo Zagreb,20,5
Croatia,Midfielder,Ivan Leko,Club Brugge,28,13
Croatia,Midfielder,Jerko Leko,Dynamo Kyiv,26,36
Croatia,Forward,Ivan Klasnić,Werder Bremen,26,20
Croatia,Forward,Ivica Olić,CSKA Moscow,26,36
Croatia,Midfielder,Niko Kranjčar,Hajduk Split,21,21
Croatia,Midfielder,Anthony Šerić,Panathinaikos,27,14
Croatia,Forward,Boško Balaban,Club Brugge,27,27
Croatia,Forward,Ivan Bošnjak,Dinamo Zagreb,27,13
Croatia,Goalkeeper,Tomislav Butina,Club Brugge,32,28
Japan,Goalkeeper,Seigo Narazaki,Nagoya Grampus Eight,30,50
Japan,Defender,Teruyuki Moniwa,FC Tokyo,24,8
Japan,Defender,Yūichi Komano,Sanfrecce Hiroshima,24,8
Japan,Midfielder,Yasuhito Endō,Gamba Osaka,26,40
Japan,Defender,Tsuneyasu Miyamoto,Gamba Osaka,29,69
Japan,Defender,Kōji Nakata,Basel,26,55
Japan,Midfielder,Hidetoshi Nakata,Fiorentina,29,74
Japan,Midfielder,Mitsuo Ogasawara,Kashima Antlers,27,51
Japan,Forward,Naohiro Takahara,Hamburger SV,27,41
Japan,Midfielder,Shunsuke Nakamura,Celtic,27,60
Japan,Forward,Seiichiro Maki,JEF United,25,10
Japan,Goalkeeper,Yoichi Doi,FC Tokyo,32,4
Japan,Forward,Atsushi Yanagisawa,Kashima Antlers,29,56
Japan,Defender,Alessandro Santos,Urawa Red Diamonds,28,72
Japan,Midfielder,Takashi Fukunishi,Júbilo Iwata,29,62
Japan,Forward,Masashi Oguro,Grenoble,26,18
Japan,Midfielder,Junichi Inamoto,West Bromwich Albion,26,63
Japan,Midfielder,Shinji Ono,Urawa Red Diamonds,26,54
Japan,Defender,Keisuke Tsuboi,Urawa Red Diamonds,26,33
Japan,Forward,Keiji Tamada,Nagoya Grampus Eight,26,39
Japan,Defender,Akira Kaji,Gamba Osaka,26,43
Japan,Defender,Yuji Nakazawa,Yokohama F. Marinos,28,50
Japan,Goalkeeper,Yoshikatsu Kawaguchi,Júbilo Iwata,30,89
France,Goalkeeper,Mickaël Landreau,Nantes,27,3
France,Defender,Jean-Alain Boumsong,Newcastle United,26,19
France,Defender,Eric Abidal,Lyon,26,8
France,Midfielder,Patrick Vieira,Juventus,29,87
France,Defender,William Gallas,Chelsea,28,40
France,Midfielder,Claude Makélélé,Chelsea,33,43
France,Midfielder,Florent Malouda,Lyon,25,13
France,Midfielder,Vikash Dhorasoo,Paris Saint-Germain,32,16
France,Forward,Sidney Govou,Lyon,26,19
France,Midfielder,Zinedine Zidane,Real Madrid,33,102
France,Forward,Sylvain Wiltord,Lyon,32,80
France,Forward,Thierry Henry,Arsenal,28,78
France,Defender,Mikaël Silvestre,Manchester United,28,39
France,Forward,Louis Saha,Manchester United,27,9
France,Defender,Lilian Thuram,Juventus,34,114
France,Goalkeeper,Fabien Barthez,Marseille,34,80
France,Defender,Gaël Givet,Monaco,24,11
France,Midfielder,Alou Diarra,Lens,24,9
France,Defender,Willy Sagnol,Bayern Munich,29,38
France,Forward,David Trezeguet,Juventus,28,63
France,Defender,Pascal Chimbonda,Wigan Athletic,27,1
France,Midfielder,Franck Ribéry,Marseille,23,3
France,Goalkeeper,Grégory Coupet,Lyon,33,18
South Korea,Goalkeeper,Lee Woon-jae,Suwon Samsung Bluewings,33,97
South Korea,Defender,Kim Young-chul,Seongnam Ilhwa Chunma,29,12
South Korea,Defender,Kim Dong-jin,FC Seoul,24,34
South Korea,Defender,Choi Jin-cheul,Jeonbuk Hyundai Motors,35,62
South Korea,Midfielder,Kim Nam-il,Suwon Samsung Bluewings,29,66
South Korea,Defender,Kim Jin-kyu,Júbilo Iwata,21,23
South Korea,Midfielder,Park Ji-sung,Manchester United,25,60
South Korea,Midfielder,Kim Do-heon,Seongnam Ilhwa Chunma,23,75
South Korea,Forward,Ahn Jung-hwan,MSV Duisburg,30,61
South Korea,Forward,Park Chu-young,FC Seoul,20,18
South Korea,Forward,Seol Ki-hyeon,Wolverhampton Wanderers,27,67
South Korea,Defender,Lee Young-pyo,Tottenham Hotspur,29,85
South Korea,Midfielder,Lee Eul-yong,Trabzonspor,30,47
South Korea,Forward,Lee Chun-soo,Ulsan Hyundai Horangi,24,62
South Korea,Midfielder,Baek Ji-hoon,FC Seoul,21,12
South Korea,Forward,Chung Kyung-ho,Gwangju Sangmu Phoenix,26,40
South Korea,Midfielder,Lee Ho,Ulsan Hyundai Horangi,21,11
South Korea,Defender,Kim Sang-sik,Seongnam Ilhwa Chunma,29,42
South Korea,Forward,Cho Jae-jin,Shimizu S-Pulse,24,21
South Korea,Goalkeeper,Kim Yong-dae,Seongnam Ilhwa Chunma,26,15
South Korea,Goalkeeper,Kim Young-kwang,Jeonnam Dragons,22,6
South Korea,Defender,Song Chong-gug,Suwon Samsung Bluewings,27,51
South Korea,Defender,Cho Won-hee,Suwon Samsung Bluewings,23,13
Switzerland,Goalkeeper,Pascal Zuberbühler,Basel,35,40
Switzerland,Defender,Johan Djourou,Arsenal,19,2
Switzerland,Defender,Ludovic Magnin,VfB Stuttgart,27,30
Switzerland,Defender,Philippe Senderos,Arsenal,21,12
Switzerland,Midfielder,Xavier Margairaz,Zürich,22,3
Switzerland,Midfielder,Johann Vogel,Milan,29,85
Switzerland,Midfielder,Ricardo Cabanas,1. FC Köln,27,37
Switzerland,Defender,Raphaël Wicky,Hamburger SV,29,67
Switzerland,Forward,Alexander Frei,Rennes,26,45
Switzerland,Forward,Daniel Gygax,Lille,24,22
Switzerland,Forward,Marco Streller,1. FC Köln,24,10
Switzerland,Goalkeeper,Diego Benaglio,Nacional,22,1
Switzerland,Defender,Stéphane Grichting,Auxerre,27,6
Switzerland,Midfielder,David Degen,Basel,23,3
Switzerland,Midfielder,Blerim Džemaili,Zürich,20,3
Switzerland,Midfielder,Tranquillo Barnetta,Bayer Leverkusen,21,13
Switzerland,Defender,Christoph Spycher,Eintracht Frankfurt,28,21
Switzerland,Forward,Mauro Lustrinelli,Sparta Prague,30,5
Switzerland,Midfielder,Valon Behrami,Lazio,21,6
Switzerland,Defender,Patrick Müller,Lyon,29,64
Switzerland,Goalkeeper,Fabio Coltorti,Grasshopper,25,2
Switzerland,Midfielder,Hakan Yakin,Young Boys,29,46
Switzerland,Defender,Philipp Degen,Borussia Dortmund,23,15
Togo,Goalkeeper,Ouro-Nimini Tchagnirou,Djoliba,28,9
Togo,Defender,Daré Nibombé,Mons,25,16
Togo,Defender,Jean-Paul Abalo,APOEL,30,65
Togo,Forward,Emmanuel Adebayor,Arsenal,22,29
Togo,Defender,Massamasso Tchangai,Benevento,27,34
Togo,Midfielder,Yao Aziawonou,Young Boys,26,32
Togo,Forward,Moustapha Salifou,Brest,23,34
Togo,Midfielder,Kuami Agboh,Beveren,28,4
Togo,Midfielder,Thomas Dossevi,Valenciennes,27,10
Togo,Midfielder,Chérif Touré Mamam,Metz,28,39
Togo,Forward,Robert Malm,Brest,32,1
Togo,Defender,Eric Akoto,Admira Wacker,25,32
Togo,Defender,Richmond Forson,Poiré,26,8
Togo,Midfielder,Adékambi Olufadé,Al-Siliyah,26,24
Togo,Midfielder,Alaixys Romao,Louhans-Cuiseaux,22,11
Togo,Goalkeeper,Kossi Agassa,Metz,27,49
Togo,Forward,Mohamed Kader,Guingamp,27,46
Togo,Midfielder,Yao Junior Sènaya,YF Juventus,22,16
Togo,Defender,Ludovic Assemoassa,Ciudad de Murcia,25,5
Togo,Forward,Affo Erassa,Moulins,23,6
Togo,Midfielder,Franck Atsou,Al Hilal,27,13
Togo,Goalkeeper,Kodjovi Obilalé,Étoile Filante,21,0
Togo,Defender,Assimiou Touré,Bayer Leverkusen,18,1
Saudi Arabia,Goalkeeper,Mohamed Al-Deayea,Al Hilal,33,175
Saudi Arabia,Defender,Ahmed Al-Dokhi,Al-Ittihad,29,68
Saudi Arabia,Defender,Redha Tukar,Al-Ittihad,30,37
Saudi Arabia,Defender,Hamad Al-Montashari,Al-Ittihad,23,32
Saudi Arabia,Defender,Naif Al-Qadi,Al-Ahli,27,28
Saudi Arabia,Midfielder,Omar Al-Ghamdi,Al Hilal,27,38
Saudi Arabia,Midfielder,Mohammed Ameen,Al-Ittihad,26,16
Saudi Arabia,Midfielder,Mohammed Noor,Al-Ittihad,28,63
Saudi Arabia,Forward,Sami Al-Jaber,Al Hilal,33,160
Saudi Arabia,Midfielder,Mohammad Al-Shalhoub,Al Hilal,25,48
Saudi Arabia,Forward,Saad Al-Harthi,Al Nassr,22,15
Saudi Arabia,Defender,Abdulaziz Al-Khathran,Al Hilal,32,19
Saudi Arabia,Defender,Hussein Abdulghani,Al-Ahli,29,97
Saudi Arabia,Midfielder,Saud Kariri,Al-Ittihad,25,34
Saudi Arabia,Defender,Ahmed Al-Bahri,Al Ettifaq,25,11
Saudi Arabia,Midfielder,Khaled Aziz,Al Hilal,24,14
Saudi Arabia,Defender,Mohamed Eid,Al-Ahli,19,0
Saudi Arabia,Midfielder,Nawaf Al-Temyat,Al Hilal,29,56
Saudi Arabia,Defender,Mohammad Massad,Al-Ahli,23,5
Saudi Arabia,Forward,Yasser Al-Qahtani,Al Hilal,23,45
Saudi Arabia,Goalkeeper,Mabrouk Zaid,Al-Ittihad,27,33
Saudi Arabia,Goalkeeper,Mohammad Khouja,Al Shabab,24,8
Saudi Arabia,Forward,Malek Mouath,Al-Ahli,24,5
Spain,Goalkeeper,Iker Casillas,Real Madrid,25,58
Spain,Defender,Míchel Salgado,Real Madrid,30,50
Spain,Defender,Mariano Pernía,Getafe,29,1
Spain,Defender,Carlos Marchena,Valencia,26,27
Spain,Defender,Carles Puyol,Barcelona,28,47
Spain,Midfielder,David Albelda,Valencia,28,33
Spain,Forward,Raúl,Real Madrid,28,95
Spain,Midfielder,Xavi,Barcelona,26,36
Spain,Forward,Fernando Torres,Atlético Madrid,22,30
Spain,Midfielder,José Antonio Reyes,Arsenal,22,19
Spain,Midfielder,Luis García,Liverpool,27,10
Spain,Defender,Antonio López,Atlético Madrid,24,8
Spain,Midfielder,Andrés Iniesta,Barcelona,22,3
Spain,Midfielder,Xabi Alonso,Liverpool,24,26
Spain,Defender,Sergio Ramos,Real Madrid,20,11
Spain,Midfielder,Marcos Senna,Villarreal,29,3
Spain,Midfielder,Joaquín,Real Betis,24,38
Spain,Midfielder,Cesc Fàbregas,Arsenal,19,4
Spain,Goalkeeper,Santiago Cañizares,Valencia,36,45
Spain,Defender,Juanito,Real Betis,29,15
Spain,Forward,David Villa,Valencia,24,8
Spain,Defender,Pablo Ibáñez,Atlético Madrid,24,11
Spain,Goalkeeper,Pepe Reina,Liverpool,23,3
Tunisia,Goalkeeper,Ali Boumnijel,Club Africain,40,48
Tunisia,Defender,Karim Essediri,Rosenborg,26,7
Tunisia,Defender,Karim Haggui,Strasbourg,22,26
Tunisia,Defender,Alaeddine Yahia,Saint-Étienne,24,13
Tunisia,Forward,Ziad Jaziri,Troyes,27,61
Tunisia,Defender,Hatem Trabelsi,Ajax,29,56
Tunisia,Forward,Haykel Guemamdia,Strasbourg,24,13
Tunisia,Midfielder,Mehdi Nafti,Birmingham City,27,29
Tunisia,Midfielder,Yassine Chikhaoui,Étoile du Sahel,19,1
Tunisia,Midfielder,Kaies Ghodhbane,Konyaspor,30,89
Tunisia,Forward,Francileudo Santos,Toulouse,27,28
Tunisia,Midfielder,Jawhar Mnari,1. FC Nürnberg,29,37
Tunisia,Midfielder,Riadh Bouazizi,Kayseri Erciyesspor,33,85
Tunisia,Midfielder,Adel Chedli,1. FC Nürnberg,29,38
Tunisia,Defender,Radhi Jaïdi,Bolton Wanderers,30,89
Tunisia,Goalkeeper,Adel Nefzi,Monastir,32,0
Tunisia,Forward,Chaouki Ben Saada,Bastia,21,11
Tunisia,Defender,David Jemmali,Bordeaux,31,2
Tunisia,Defender,Anis Ayari,Samsunspor,24,24
Tunisia,Midfielder,Hamed Namouchi,Rangers,22,14
Tunisia,Defender,Karim Saidi,Feyenoord,23,15
Tunisia,Goalkeeper,Hamdi Kasraoui,Espérance de Tunis,23,6
Tunisia,Midfielder,Sofiane Melliti,Gaziantepspor,27,14
Ukraine,Goalkeeper,Oleksandr Shovkovskyi,Dynamo Kyiv,31,68
Ukraine,Defender,Andriy Nesmachniy,Dynamo Kyiv,27,49
Ukraine,Defender,Oleksandr Yatsenko,Kharkiv,21,1
Ukraine,Midfielder,Anatoliy Tymoshchuk,Shakhtar Donetsk,27,55
Ukraine,Defender,Volodymyr Yezerskiy,Dnipro Dnipropetrovsk,29,24
Ukraine,Defender,Andriy Rusol,Dnipro Dnipropetrovsk,23,23
Ukraine,Forward,Andriy Shevchenko,Milan,29,64
Ukraine,Midfielder,Oleh Shelayev,Dnipro Dnipropetrovsk,29,19
Ukraine,Midfielder,Oleh Husyev,Dynamo Kyiv,23,25
Ukraine,Forward,Andriy Voronin,Bayer Leverkusen,26,32
Ukraine,Forward,Serhii Rebrov,Dynamo Kyiv,32,70
Ukraine,Goalkeeper,Andriy Pyatov,Vorskla Poltava,21,1
Ukraine,Defender,Dmytro Chyhrynskyi,Shakhtar Donetsk,19,0
Ukraine,Midfielder,Andriy Husin,Krylya Sovetov Samara,33,64
Ukraine,Forward,Artem Milevskyi,Dynamo Kyiv,21,0
Ukraine,Forward,Andriy Vorobey,Shakhtar Donetsk,27,53
Ukraine,Defender,Vladyslav Vashchuk,Dynamo Kyiv,31,58
Ukraine,Midfielder,Serhiy Nazarenko,Dnipro Dnipropetrovsk,26,15
Ukraine,Midfielder,Maksym Kalynychenko,Spartak Moscow,27,21
Ukraine,Forward,Oleksiy Byelik,Shakhtar Donetsk,25,15
Ukraine,Midfielder,Ruslan Rotan,Dynamo Kyiv,24,19
Ukraine,Defender,Vyacheslav Sviderskyi,Shakhtar Donetsk,27,6
Ukraine,Goalkeeper,Bohdan Shust,Shakhtar Donetsk,20,2
